OS: Windows 10 | Browser: Chrome 115 | Resolution: 1536x816 | Time: 18 Aug 2023 / 22:46:27  GMT+5:30
Step,Data,Exp Result,XPath,cssSelector
Open website,https://www.google.com/search?gs_ssp=eJzj4tLP1TdILkqpqihQYDRgdGDw4kjLySzITiwqAQBm2Afs&q=flipkart&rlz=1C1RXQR_enIN1070IN1070&oq=flip&aqs=chrome.1.0i131i355i433i512j46i131i199i433i465i512j69i57j0i131i433i512l4j0i512j0i131i433i512j0i271.17083177j0j15&sourceid=chrome&ie=UTF-8,,,
Click on "https://www.flipkart.com",,,//a[@href='https://www.flipkart.com/']//div[@class='TbwUpd NJjxre iUh30 ojE3Fb']//div//div[@class='byrV5b']//cite[@role='text'],body > div:nth-child(10) > div:nth-child(1) > div:nth-child(16) > div:nth-child(1) > div:nth-child(4) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a:nth-child(1) > div:nth-child(3) > div:nth-child(2) > div:nth-child(2) > cite:nth-child(1)
Click on "✕LoginGet access to your Order",,,//button[contains(text(),'✕')],._2KpZ6l._2doB4z
Enter "iph" into "Search for products, brands an",iph,,//input[@placeholder='Search for products, brands and more'],input[placeholder='Search for products, brands and more']
Click on "iphone 14 pro",,,//li[3]//div[1]//a[1]//div[2],body > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > form:nth-child(1) > ul:nth-child(2) > li:nth-child(3) > div:nth-child(1) > a:nth-child(1) > div:nth-child(2)
Click on "APPLE iPhone 14 Pro (Deep Purp",,,//div[normalize-space()='APPLE iPhone 14 Pro (Deep Purple, 128 GB)'],body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1)
Click on "Buy Now",,,//button[normalize-space()='Buy Now'],button[type='button']
Click on "2Delivery Address",,,//span[normalize-space()='2'],body > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > h3:nth-child(1) > span:nth-child(1)
Click on "Delivery Address",,,//span[normalize-space()='Delivery Address'],body > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > h3:nth-child(1) > span:nth-child(2)
Click on "Add to CompareAPPLE iPhone 14 ",,,//div[@data-id='MOBGHWFHYGAZRWFT']//div[@class='_2kHMtA'],body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1)
Click on "APPLE iPhone 14 Pro (Deep Purp",,,//div[normalize-space()='APPLE iPhone 14 Pro (Deep Purple, 128 GB)'],body > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1)
Click on "Login",,,//a[normalize-space()='Login'],._1_3w1N
Click on "✕LoginGet access to your Order",,,//button[@class='_2KpZ6l _2doB4z'],._2KpZ6l._2doB4z
Click on "Log into Facebook",,,//a[@href='https://www.facebook.com/login.php/']//h3[@class='LC20lb MBeuO DKV0Md'][normalize-space()='Log into Facebook'],body > div:nth-child(10) > div:nth-child(1) > div:nth-child(18) > div:nth-child(1) > div:nth-child(4) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a:nth-child(1) > h3:nth-child(2)
Click on "Log in to FacebookLog inForgot",,,//div[@id='content'],#content
Click on "Sign up for Facebook",,,//a[normalize-space()='Sign up for Facebook'],._97w5
